@RELATION credit

@ATTRIBUTE checking_status {<0, 0<=X<200, >=200, "no checking"}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE credit_history {"no credits/all paid", "all paid", "existing paid", "delayed previously", "critical/other existing credit"}
@ATTRIBUTE purpose {"new car", "used car", furniture/equipment, radio/tv, "domestic appliance", repairs, education, vacation, retraining, business, other}
@ATTRIBUTE credit_amount NUMERIC
@ATTRIBUTE savings_status NUMERIC
@ATTRIBUTE employment {unemployed, <1, 1<=X<4, 4<=X<7, >=7}
@ATTRIBUTE installment_commitment NUMERIC
@ATTRIBUTE personal_status {"male div/sep", "female div/dep/mar", "male single", "male mar/wid", "female single"}
@ATTRIBUTE other_parties {none, "co applicant", guarantor}
@ATTRIBUTE residence_since NUMERIC
@ATTRIBUTE property_magnitude {"real estate", "life insurance", car, "no known property"}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE other_payment_plans {bank, stores, none}
@ATTRIBUTE housing {rent, own, "for free"}
@ATTRIBUTE existing_credits NUMERIC
@ATTRIBUTE job {"unemp/unskilled non res", "unskilled resident", skilled, "high qualif/self emp/mgmt"}
@ATTRIBUTE num_dependents NUMERIC
@ATTRIBUTE own_telephone {none, yes}
@ATTRIBUTE foreign_worker {yes, no}
@ATTRIBUTE class {good, bad}

@DATA
0<=X<200,24.0,'existing paid','used car',12579.0,91,>=7,4.0,'female div/dep/mar',none,2.0,'no known property',44.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',24.0,'existing paid',radio/tv,3430.0,924,>=7,3.0,'male single',none,2.0,car,31.0,none,own,1.0,skilled,2.0,yes,yes,good
'no checking',9.0,'critical/other existing credit','new car',2134.0,89,1<=X<4,4.0,'male single',none,4.0,car,48.0,none,own,3.0,skilled,1.0,yes,yes,good
<0,6.0,'existing paid',radio/tv,2647.0,645,1<=X<4,2.0,'male single',none,3.0,'real estate',44.0,none,rent,1.0,skilled,2.0,none,yes,good
0<=X<200,12.0,'critical/other existing credit','used car',1804.0,455,<1,3.0,'male single',none,4.0,'life insurance',44.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',10.0,'critical/other existing credit',furniture/equipment,2069.0,?,1<=X<4,2.0,'male mar/wid',none,1.0,car,26.0,none,own,2.0,skilled,1.0,none,no,good
<0,6.0,'existing paid',furniture/equipment,1374.0,50,1<=X<4,1.0,'male single',none,2.0,'real estate',36.0,bank,own,1.0,'unskilled resident',1.0,yes,yes,good
'no checking',6.0,'no credits/all paid',radio/tv,426.0,25,>=7,4.0,'male mar/wid',none,4.0,car,39.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
>=200,12.0,'all paid',radio/tv,409.0,1009.30171328,1<=X<4,3.0,'female div/dep/mar',none,3.0,'real estate',42.0,none,rent,2.0,skilled,1.0,none,yes,good
0<=X<200,7.0,'existing paid',radio/tv,2415.0,75,1<=X<4,3.0,'male single',guarantor,2.0,'real estate',34.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'existing paid',business,1913.0,1204.4703558,<1,3.0,'male mar/wid',none,3.0,'real estate',36.0,bank,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,'existing paid',furniture/equipment,4020.0,38,1<=X<4,2.0,'male single',none,2.0,car,27.0,stores,own,1.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'existing paid','new car',5866.0,374,1<=X<4,2.0,'male single',none,2.0,car,30.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',business,1264.0,?,>=7,4.0,'male single',none,4.0,'no known property',57.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
>=200,12.0,'existing paid',furniture/equipment,1474.0,50,<1,4.0,'female div/dep/mar',none,1.0,'life insurance',33.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,45.0,'critical/other existing credit',radio/tv,4746.0,21,<1,4.0,'male single',none,2.0,'life insurance',25.0,none,own,2.0,'unskilled resident',1.0,none,yes,bad
'no checking',48.0,'critical/other existing credit',education,6110.0,38,1<=X<4,1.0,'male single',none,3.0,'no known property',31.0,bank,'for free',1.0,skilled,1.0,yes,yes,good
>=200,18.0,'existing paid',radio/tv,2100.0,43,1<=X<4,4.0,'male single','co applicant',2.0,'real estate',37.0,stores,own,1.0,skilled,1.0,none,yes,bad
>=200,10.0,'existing paid','domestic appliance',1225.0,69,1<=X<4,2.0,'male single',none,2.0,car,37.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,'existing paid',radio/tv,1158.0,877,1<=X<4,3.0,'male div/sep',none,1.0,car,26.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'delayed previously',repairs,6204.0,69,1<=X<4,2.0,'male single',none,4.0,'real estate',44.0,none,own,1.0,'unskilled resident',2.0,yes,yes,good
<0,30.0,'critical/other existing credit','used car',6187.0,430,4<=X<7,1.0,'male mar/wid',none,4.0,car,24.0,none,rent,2.0,skilled,1.0,none,yes,good
'no checking',11.0,'critical/other existing credit','new car',1393.0,55,<1,4.0,'female div/dep/mar',none,4.0,car,35.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,good
'no checking',36.0,'existing paid',radio/tv,2299.0,974,>=7,4.0,'male single',none,4.0,car,39.0,none,own,1.0,skilled,1.0,none,yes,good
<0,6.0,'existing paid','used car',1352.0,955,unemployed,1.0,'female div/dep/mar',none,2.0,'life insurance',23.0,none,rent,1.0,'unemp/unskilled non res',1.0,yes,yes,good
'no checking',12.0,'existing paid',radio/tv,2073.0,101,1<=X<4,4.0,'female div/dep/mar','co applicant',2.0,'real estate',28.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'delayed previously',furniture/equipment,2333.0,?,<1,4.0,'male single',none,2.0,'life insurance',29.0,bank,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,27.0,'delayed previously','used car',5965.0,45,>=7,1.0,'male single',none,2.0,car,30.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',18.0,'existing paid','used car',3378.0,?,1<=X<4,2.0,'male single',none,1.0,'life insurance',31.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,36.0,'delayed previously','new car',2225.0,40,>=7,4.0,'male single',none,4.0,'no known property',57.0,bank,'for free',2.0,skilled,1.0,yes,yes,bad
'no checking',6.0,'all paid','new car',783.0,?,1<=X<4,1.0,'male single',guarantor,2.0,'real estate',26.0,stores,own,1.0,'unskilled resident',2.0,none,yes,good
0<=X<200,12.0,'existing paid',radio/tv,6468.0,?,unemployed,2.0,'male single',none,1.0,'no known property',52.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',36.0,'critical/other existing credit',radio/tv,9566.0,36,1<=X<4,2.0,'female div/dep/mar',none,2.0,car,31.0,stores,own,2.0,skilled,1.0,none,yes,good
<0,36.0,'critical/other existing credit',furniture/equipment,6229.0,33,<1,4.0,'female div/dep/mar','co applicant',4.0,'no known property',23.0,none,rent,2.0,'unskilled resident',1.0,yes,yes,bad
0<=X<200,9.0,'existing paid',business,1391.0,90,1<=X<4,2.0,'male mar/wid',none,1.0,'real estate',27.0,bank,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,15.0,'critical/other existing credit',radio/tv,1537.0,?,>=7,4.0,'male single',guarantor,4.0,'real estate',50.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,36.0,'no credits/all paid',business,1953.0,68,>=7,4.0,'male single',none,4.0,'no known property',61.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
0<=X<200,48.0,'no credits/all paid',business,14421.0,64,1<=X<4,2.0,'male single',none,2.0,car,25.0,none,own,1.0,skilled,1.0,yes,yes,bad
'no checking',24.0,'existing paid',radio/tv,3181.0,24,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',26.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',36.0,'existing paid',education,1819.0,3,1<=X<4,4.0,'male single',none,4.0,'no known property',37.0,stores,'for free',1.0,skilled,1.0,yes,yes,bad
'no checking',36.0,'existing paid',radio/tv,2394.0,?,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,25.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',36.0,'existing paid','used car',8133.0,38,1<=X<4,1.0,'female div/dep/mar',none,2.0,'life insurance',30.0,bank,own,1.0,skilled,1.0,none,yes,good
<0,8.0,'critical/other existing credit',other,1164.0,32,>=7,3.0,'male single',none,4.0,'no known property',51.0,bank,'for free',2.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
0<=X<200,42.0,'critical/other existing credit',business,5954.0,77,4<=X<7,2.0,'female div/dep/mar',none,1.0,'real estate',41.0,bank,own,2.0,'unskilled resident',1.0,none,yes,good
<0,36.0,'existing paid',education,1977.0,?,>=7,4.0,'male single',none,4.0,'no known property',40.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,12.0,'critical/other existing credit','used car',1526.0,35,>=7,4.0,'male single',none,4.0,'no known property',66.0,none,'for free',2.0,'high qualif/self emp/mgmt',1.0,none,yes,good
<0,42.0,'existing paid',radio/tv,3965.0,29,<1,4.0,'male single',none,3.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,11.0,'delayed previously',radio/tv,4771.0,44,4<=X<7,2.0,'male single',none,4.0,'life insurance',51.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',54.0,'no credits/all paid','used car',9436.0,?,1<=X<4,2.0,'male single',none,2.0,'life insurance',39.0,none,own,1.0,'unskilled resident',2.0,none,yes,good
0<=X<200,30.0,'existing paid',furniture/equipment,3832.0,22,<1,2.0,'male mar/wid',none,1.0,'life insurance',22.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',18.0,'existing paid',business,1568.0,231,1<=X<4,3.0,'female div/dep/mar',none,4.0,'life insurance',24.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
<0,24.0,'existing paid',other,1755.0,63,>=7,4.0,'female div/dep/mar',guarantor,4.0,'real estate',58.0,none,own,1.0,'unskilled resident',1.0,yes,yes,good
<0,10.0,'existing paid',radio/tv,2315.0,87,>=7,3.0,'male single',none,4.0,'real estate',52.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,18.0,'critical/other existing credit',furniture/equipment,1295.0,20,<1,4.0,'female div/dep/mar',none,1.0,'life insurance',27.0,none,own,2.0,skilled,1.0,none,yes,good
<0,18.0,'existing paid','new car',2249.0,469,4<=X<7,4.0,'male single',none,3.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
<0,12.0,'no credits/all paid',repairs,1108.0,54,4<=X<7,4.0,'male single',none,3.0,'real estate',28.0,none,own,2.0,skilled,1.0,none,yes,bad
'no checking',12.0,'critical/other existing credit',radio/tv,618.0,36,>=7,4.0,'male single',none,4.0,'real estate',56.0,none,own,1.0,skilled,1.0,none,yes,good
<0,12.0,'critical/other existing credit','used car',1409.0,25,>=7,4.0,'male single',none,3.0,'real estate',54.0,none,own,1.0,skilled,1.0,none,yes,good
>=200,24.0,'critical/other existing credit',furniture/equipment,3617.0,?,>=7,4.0,'male single','co applicant',4.0,'no known property',20.0,none,rent,2.0,skilled,1.0,none,yes,good
0<=X<200,12.0,'existing paid','new car',1318.0,1058.81716354,>=7,4.0,'male single',none,4.0,'real estate',54.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,54.0,'no credits/all paid',business,15945.0,53,<1,3.0,'male single',none,4.0,'no known property',58.0,none,rent,1.0,skilled,1.0,yes,yes,bad
0<=X<200,18.0,'existing paid',business,2622.0,373,1<=X<4,4.0,'male single',none,4.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,20.0,'delayed previously','used car',7057.0,?,4<=X<7,3.0,'male single',none,4.0,'life insurance',36.0,bank,rent,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
0<=X<200,36.0,'existing paid',radio/tv,2323.0,13,4<=X<7,4.0,'male single',none,4.0,car,24.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'critical/other existing credit',other,11938.0,23,1<=X<4,2.0,'male single','co applicant',3.0,car,39.0,none,own,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,bad
'no checking',18.0,'all paid','new car',6458.0,43,>=7,2.0,'male single',none,4.0,'no known property',39.0,bank,own,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,bad
0<=X<200,12.0,'existing paid','new car',6078.0,45,4<=X<7,2.0,'male single',none,2.0,car,32.0,none,own,1.0,skilled,1.0,none,yes,good
<0,24.0,'existing paid',furniture/equipment,7721.0,?,<1,1.0,'female div/dep/mar',none,2.0,'life insurance',30.0,none,own,1.0,skilled,1.0,yes,no,good
0<=X<200,14.0,'existing paid',business,1410.0,535,>=7,1.0,'male mar/wid',none,2.0,'real estate',35.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,6.0,'delayed previously',business,1449.0,238,>=7,1.0,'male div/sep',none,2.0,car,31.0,bank,own,2.0,skilled,2.0,none,yes,good
>=200,15.0,'existing paid',education,392.0,84,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,rent,1.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'existing paid','new car',6260.0,53,4<=X<7,3.0,'male single',none,3.0,'real estate',28.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
'no checking',48.0,'critical/other existing credit',radio/tv,3578.0,?,>=7,4.0,'male single',none,1.0,'real estate',47.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,42.0,'existing paid',radio/tv,7174.0,?,4<=X<7,4.0,'female div/dep/mar',none,3.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,10.0,'critical/other existing credit',furniture/equipment,2132.0,?,<1,2.0,'female div/dep/mar','co applicant',3.0,'real estate',27.0,none,rent,2.0,skilled,1.0,none,no,good
<0,33.0,'critical/other existing credit',furniture/equipment,4281.0,719,1<=X<4,1.0,'female div/dep/mar',none,4.0,car,23.0,none,own,2.0,skilled,1.0,none,yes,bad
0<=X<200,12.0,'critical/other existing credit','new car',2366.0,516,4<=X<7,3.0,'male div/sep',none,3.0,car,36.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,21.0,'existing paid',radio/tv,1835.0,19,1<=X<4,3.0,'female div/dep/mar',none,2.0,'real estate',25.0,none,own,2.0,skilled,1.0,yes,yes,bad
>=200,10.0,'critical/other existing credit','new car',781.0,90,>=7,4.0,'male single',none,4.0,'no known property',63.0,none,'for free',2.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'existing paid',furniture/equipment,1924.0,?,<1,4.0,'female div/dep/mar',none,3.0,'real estate',27.0,none,rent,1.0,skilled,1.0,none,yes,bad
<0,12.0,'critical/other existing credit','new car',2121.0,55,1<=X<4,4.0,'male single',none,2.0,'life insurance',30.0,none,own,2.0,skilled,1.0,none,yes,good
<0,12.0,'existing paid',radio/tv,701.0,54,1<=X<4,4.0,'male mar/wid',none,2.0,'real estate',40.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,12.0,'critical/other existing credit','used car',1860.0,13,unemployed,4.0,'male single',none,2.0,car,34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,12.0,'critical/other existing credit','new car',3499.0,92,1<=X<4,3.0,'female div/dep/mar','co applicant',2.0,'real estate',29.0,none,own,2.0,skilled,1.0,none,yes,bad
0<=X<200,48.0,'existing paid','new car',8487.0,?,4<=X<7,1.0,'female div/dep/mar',none,2.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',15.0,'existing paid',furniture/equipment,2708.0,11,<1,2.0,'male single',none,3.0,'life insurance',27.0,bank,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',60.0,'existing paid',radio/tv,10144.0,286,4<=X<7,2.0,'female div/dep/mar',none,4.0,'real estate',21.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',radio/tv,1240.0,?,>=7,4.0,'female div/dep/mar',none,2.0,'real estate',38.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,15.0,'critical/other existing credit',radio/tv,2728.0,?,4<=X<7,4.0,'male single',guarantor,2.0,'real estate',35.0,bank,own,3.0,skilled,1.0,yes,yes,good
>=200,12.0,'existing paid',radio/tv,1881.0,5,1<=X<4,2.0,'female div/dep/mar',none,2.0,car,44.0,none,rent,1.0,'unskilled resident',1.0,yes,yes,good
0<=X<200,36.0,'existing paid',radio/tv,4795.0,15,<1,4.0,'female div/dep/mar',none,1.0,'no known property',30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,27.0,'existing paid',radio/tv,3416.0,68,1<=X<4,3.0,'male single',none,2.0,car,27.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,good
<0,18.0,'existing paid',furniture/equipment,2462.0,92,1<=X<4,2.0,'male single',none,2.0,car,22.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',21.0,'critical/other existing credit',furniture/equipment,2288.0,32,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,6.0,'critical/other existing credit','new car',860.0,54,>=7,1.0,'female div/dep/mar',none,4.0,'no known property',39.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,36.0,'critical/other existing credit',furniture/equipment,5371.0,59,1<=X<4,3.0,'male single',guarantor,2.0,'life insurance',28.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',6.0,'existing paid',radio/tv,1346.0,217,>=7,2.0,'male single',none,4.0,'no known property',42.0,bank,'for free',1.0,skilled,2.0,yes,yes,good
>=200,36.0,'existing paid',radio/tv,5848.0,58,1<=X<4,4.0,'male single',none,1.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'critical/other existing credit','used car',7758.0,1009.23684926,>=7,2.0,'female div/dep/mar',none,4.0,'no known property',29.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'delayed previously',business,6967.0,279,4<=X<7,4.0,'male single',none,4.0,car,36.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,12.0,'existing paid',furniture/equipment,1282.0,66,1<=X<4,2.0,'female div/dep/mar',none,4.0,car,20.0,none,rent,1.0,skilled,1.0,none,yes,bad
<0,9.0,'critical/other existing credit',repairs,1288.0,316,>=7,3.0,'male single',guarantor,4.0,'real estate',48.0,none,own,2.0,skilled,2.0,none,no,good
0<=X<200,24.0,'existing paid','new car',3512.0,200,4<=X<7,2.0,'male single',none,3.0,car,38.0,bank,own,2.0,skilled,1.0,yes,yes,good
'no checking',18.0,'critical/other existing credit','new car',1055.0,77,<1,4.0,'female div/dep/mar',none,1.0,'life insurance',30.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',15.0,'existing paid','domestic appliance',1262.0,901,4<=X<7,4.0,'male single',none,3.0,'life insurance',36.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,10.0,'existing paid','new car',7308.0,88,unemployed,2.0,'male single',none,4.0,'no known property',70.0,bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',36.0,'existing paid','new car',909.0,820,>=7,4.0,'male single',none,4.0,'life insurance',36.0,none,own,1.0,skilled,1.0,none,yes,good
<0,18.0,'existing paid',furniture/equipment,1131.0,2,unemployed,4.0,'female div/dep/mar',none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,11.0,'existing paid',furniture/equipment,1577.0,1043.20621657,<1,4.0,'female div/dep/mar',none,1.0,'real estate',20.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'critical/other existing credit',business,1935.0,21,>=7,4.0,'male div/sep',none,4.0,'real estate',31.0,none,own,2.0,skilled,1.0,yes,yes,bad
'no checking',12.0,'existing paid',furniture/equipment,763.0,94,1<=X<4,4.0,'female div/dep/mar',none,1.0,'real estate',26.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,21.0,'delayed previously',education,3414.0,55,<1,2.0,'male single',none,1.0,'life insurance',26.0,none,own,2.0,skilled,1.0,none,yes,bad
'no checking',30.0,'all paid','used car',7485.0,?,unemployed,4.0,'female div/dep/mar',none,1.0,'real estate',53.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,12.0,'existing paid',furniture/equipment,2577.0,80,1<=X<4,2.0,'male div/sep',none,1.0,car,42.0,none,own,1.0,skilled,1.0,none,yes,good
<0,6.0,'critical/other existing credit',radio/tv,338.0,832,>=7,4.0,'male single',none,4.0,car,52.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',12.0,'existing paid',radio/tv,1963.0,85,4<=X<7,4.0,'male single',none,2.0,car,31.0,none,rent,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
<0,21.0,'critical/other existing credit','new car',571.0,55,>=7,4.0,'male single',none,4.0,'real estate',65.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,36.0,'delayed previously',business,4455.0,5,1<=X<4,2.0,'male div/sep',none,2.0,'real estate',30.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',24.0,'critical/other existing credit',furniture/equipment,3777.0,1143.30172068,1<=X<4,4.0,'male single',none,4.0,'real estate',50.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'critical/other existing credit','new car',884.0,61,>=7,4.0,'male single',none,4.0,car,36.0,bank,own,1.0,skilled,2.0,yes,yes,bad
'no checking',15.0,'critical/other existing credit',radio/tv,1360.0,4,1<=X<4,4.0,'male single',none,2.0,'life insurance',31.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,9.0,'all paid','used car',5129.0,33,>=7,2.0,'female div/dep/mar',none,4.0,'no known property',74.0,bank,'for free',1.0,'high qualif/self emp/mgmt',2.0,yes,yes,bad
0<=X<200,16.0,'critical/other existing credit','new car',1175.0,74,unemployed,2.0,'male single',none,3.0,car,68.0,none,'for free',3.0,'unemp/unskilled non res',1.0,yes,yes,good
<0,12.0,'existing paid',radio/tv,674.0,271,4<=X<7,4.0,'male mar/wid',none,1.0,'life insurance',20.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,18.0,'no credits/all paid',furniture/equipment,3244.0,57,1<=X<4,1.0,'female div/dep/mar',none,4.0,car,33.0,bank,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,48.0,'no credits/all paid',business,3844.0,126,4<=X<7,4.0,'male single',none,4.0,'no known property',34.0,none,'for free',1.0,'unskilled resident',2.0,none,yes,bad
0<=X<200,27.0,'existing paid',business,3915.0,29,1<=X<4,4.0,'male single',none,2.0,car,36.0,none,own,1.0,skilled,2.0,yes,yes,bad
'no checking',6.0,'existing paid',radio/tv,2108.0,32,4<=X<7,2.0,'male mar/wid',none,2.0,'real estate',29.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,45.0,'existing paid',radio/tv,3031.0,467,1<=X<4,4.0,'male single',guarantor,4.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,yes,bad
'no checking',6.0,'critical/other existing credit',radio/tv,1382.0,79,1<=X<4,1.0,'female div/dep/mar',none,1.0,car,28.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'delayed previously',furniture/equipment,4297.0,98,>=7,4.0,'male div/sep',none,3.0,'no known property',40.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',27.0,'delayed previously',business,5117.0,68,4<=X<7,3.0,'male single',none,4.0,car,26.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',12.0,'critical/other existing credit','new car',1495.0,29,>=7,4.0,'male single',none,1.0,'real estate',38.0,none,own,2.0,'unskilled resident',2.0,none,yes,good
<0,30.0,'critical/other existing credit','used car',10623.0,37,>=7,3.0,'male single',none,4.0,'no known property',38.0,none,'for free',3.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',furniture/equipment,1935.0,53,>=7,4.0,'male single',none,4.0,'real estate',43.0,none,own,3.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,'critical/other existing credit','domestic appliance',1424.0,86,4<=X<7,4.0,'male single',none,3.0,'life insurance',26.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',12.0,'existing paid','used car',1413.0,1061.92065751,4<=X<7,3.0,'male single',none,2.0,'life insurance',55.0,none,own,1.0,skilled,1.0,none,no,good
